date;unit;consumption;time
27.3.2019;fridge;154,3W;18:40
27.3.2019;fridge;42,7W;18:45
27.3.2019;fridge;43,7W;18:50
27.3.2019;fridge;43,7W;18:55
27.3.2019;fridge;43,7W;19:00
27.3.2019;fridge;42,0W;19:05
27.3.2019;fridge;42,0W;19:10
27.3.2019;fridge;41,5W;19:15
27.3.2019;fridge;41,1W;19:20
27.3.2019;fridge;41,1W;19:25
27.3.2019;fridge;41,1W;19:30
27.3.2019;fridge;41,1W;19:35
27.3.2019;fridge;41,1W;19:40
27.3.2019;fridge;41,1W;19:45
27.3.2019;fridge;36,4W;19:50
27.3.2019;fridge;36,4W;19:55
27.3.2019;fridge;37,0W;20:00
27.3.2019;fridge;37,0W;20:05
27.3.2019;fridge;37,0W;20:10
27.3.2019;fridge;37,0W;20:15
27.3.2019;fridge;36,5W;20:20
27.3.2019;fridge;36,5W;20:25
27.3.2019;fridge;35,8W;20:30
27.3.2019;fridge;35,5W;20:35
27.3.2019;fridge;35,1W;20:40
27.3.2019;fridge;35,6W;20:45
27.3.2019;fridge;34,7W;20:50
27.3.2019;fridge;36,3W;20:55
27.3.2019;fridge;37,8W;21:00
27.3.2019;fridge;37,8W;21:05
27.3.2019;fridge;37,5W;21:10
27.3.2019;fridge;35,0W;21:15
27.3.2019;fridge;35,0W;21:20
27.3.2019;fridge;35,0W;21:25
27.3.2019;fridge;34,8W;21:30
27.3.2019;fridge;34,8W;21:35
27.3.2019;fridge;34,4W;21:40
27.3.2019;fridge;62,2W;21:45
27.3.2019;fridge;62,2W;21:50
27.3.2019;fridge;62,2W;21:55
27.3.2019;fridge;62,2W;22:00
27.3.2019;fridge;62,2W;22:05
27.3.2019;fridge;2,8W;22:10
27.3.2019;fridge;2,8W;22:15
27.3.2019;fridge;2,8W;22:20
27.3.2019;fridge;35,7W;22:25
27.3.2019;fridge;36,7W;22:30
27.3.2019;fridge;37,2W;22:35
27.3.2019;fridge;37,2W;22:40
27.3.2019;fridge;34,8W;22:45
27.3.2019;fridge;34,8W;22:50
27.3.2019;fridge;34,7W;22:55
27.3.2019;fridge;34,7W;23:00
27.3.2019;fridge;34,5W;23:05
27.3.2019;fridge;33,0W;23:10
27.3.2019;fridge;33,6W;23:15
27.3.2019;fridge;33,0W;23:20
27.3.2019;fridge;3,9W;23:25
27.3.2019;fridge;2,1W;23:30
27.3.2019;fridge;2,1W;23:35
27.3.2019;fridge;35,2W;23:40
27.3.2019;fridge;36,0W;23:45
27.3.2019;fridge;36,7W;23:50
27.3.2019;fridge;37,1W;23:55
28.3.2019;fridge;35,6W;00:00
28.3.2019;fridge;35,4W;00:05
28.3.2019;fridge;33,7W;00:10
28.3.2019;fridge;34,1W;00:15
28.3.2019;fridge;34,1W;00:20
28.3.2019;fridge;34,3W;00:25
28.3.2019;fridge;34,3W;00:30
28.3.2019;fridge;34,8W;00:35
28.3.2019;fridge;2,1W;00:40
28.3.2019;fridge;2,1W;00:45
28.3.2019;fridge;27,6W;00:50
28.3.2019;fridge;35,7W;00:55
28.3.2019;fridge;37,1W;01:00
28.3.2019;fridge;37,4W;01:05
28.3.2019;fridge;37,2W;01:10
28.3.2019;fridge;35,2W;01:15
28.3.2019;fridge;35,2W;01:20
28.3.2019;fridge;34,4W;01:25
28.3.2019;fridge;33,7W;01:30
28.3.2019;fridge;33,4W;01:35
28.3.2019;fridge;34,1W;01:40
28.3.2019;fridge;35,0W;01:45
28.3.2019;fridge;1,6W;01:50
28.3.2019;fridge;1,6W;01:55
28.3.2019;fridge;1,6W;02:00
28.3.2019;fridge;35,3W;02:05
28.3.2019;fridge;34,0W;02:10
28.3.2019;fridge;34,0W;02:15
28.3.2019;fridge;36,7W;02:20
28.3.2019;fridge;35,2W;02:25
28.3.2019;fridge;35,2W;02:30
28.3.2019;fridge;34,4W;02:35
28.3.2019;fridge;34,4W;02:40
28.3.2019;fridge;34,3W;02:45
28.3.2019;fridge;34,0W;02:50
28.3.2019;fridge;33,6W;02:55
28.3.2019;fridge;2,0W;03:00
28.3.2019;fridge;2,0W;03:05
28.3.2019;fridge;2,0W;03:10
28.3.2019;fridge;35,7W;03:15
28.3.2019;fridge;36,8W;03:20
28.3.2019;fridge;36,8W;03:25
28.3.2019;fridge;36,4W;03:30
28.3.2019;fridge;34,8W;03:35
28.3.2019;fridge;34,8W;03:40
28.3.2019;fridge;33,9W;03:45
28.3.2019;fridge;34,8W;03:50
28.3.2019;fridge;33,7W;03:55
28.3.2019;fridge;33,1W;04:00
28.3.2019;fridge;33,1W;04:05
28.3.2019;fridge;2,0W;04:10
28.3.2019;fridge;2,0W;04:15
28.3.2019;fridge;30,2W;04:20
28.3.2019;fridge;36,1W;04:25
28.3.2019;fridge;36,5W;04:30
28.3.2019;fridge;37,4W;04:35
